tick,nation_id,army_size
0,nation_costa_rica,100
0,nation_nicaragua,60
0,nation_honduras,50
0,nation_guatemala,50
0,nation_panama,50
1,nation_costa_rica,95
1,nation_nicaragua,54
1,nation_honduras,50
1,nation_guatemala,50
1,nation_panama,50
2,nation_costa_rica,91
2,nation_nicaragua,49
2,nation_honduras,50
2,nation_guatemala,50
2,nation_panama,50
3,nation_costa_rica,87
3,nation_nicaragua,45
3,nation_honduras,50
3,nation_guatemala,50
3,nation_panama,50
4,nation_costa_rica,87
4,nation_nicaragua,45
4,nation_honduras,50
4,nation_guatemala,50
4,nation_panama,50
5,nation_costa_rica,87
5,nation_nicaragua,45
5,nation_honduras,50
5,nation_guatemala,50
5,nation_panama,50
6,nation_costa_rica,87
6,nation_nicaragua,45
6,nation_honduras,50
6,nation_guatemala,50
6,nation_panama,50
7,nation_costa_rica,87
7,nation_nicaragua,45
7,nation_honduras,50
7,nation_guatemala,50
7,nation_panama,50
8,nation_costa_rica,87
8,nation_nicaragua,45
8,nation_honduras,50
8,nation_guatemala,50
8,nation_panama,50
9,nation_costa_rica,87
9,nation_nicaragua,45
9,nation_honduras,50
9,nation_guatemala,50
9,nation_panama,50
10,nation_costa_rica,87
10,nation_nicaragua,45
10,nation_honduras,50
10,nation_guatemala,50
10,nation_panama,50
11,nation_costa_rica,87
11,nation_nicaragua,45
11,nation_honduras,50
11,nation_guatemala,50
11,nation_panama,50
12,nation_costa_rica,87
12,nation_nicaragua,45
12,nation_honduras,50
12,nation_guatemala,50
12,nation_panama,50
13,nation_costa_rica,87
13,nation_nicaragua,45
13,nation_honduras,50
13,nation_guatemala,50
13,nation_panama,50
14,nation_costa_rica,87
14,nation_nicaragua,45
14,nation_honduras,50
14,nation_guatemala,50
14,nation_panama,50
15,nation_costa_rica,87
15,nation_nicaragua,45
15,nation_honduras,50
15,nation_guatemala,50
15,nation_panama,50
