tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_costa_rica,0.00,0.00,20.00,,0.100000,0.300000,-0.800000,-0.600000,latin
0,nation_guatemala,0.00,0.00,20.00,,-0.400000,-0.500000,0.200000,0.100000,latin
0,nation_honduras,0.00,0.00,10.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
0,nation_nicaragua,0.00,0.00,0.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
0,nation_panama,0.00,0.00,0.00,,0.100000,0.200000,-0.400000,-0.300000,latin
1,nation_costa_rica,5.00,5.00,24.50,,0.100000,0.300000,-0.800000,-0.600000,latin
1,nation_guatemala,14.00,4.00,12.50,,-0.400000,-0.500000,0.200000,0.100000,latin
1,nation_honduras,9.00,3.00,10.50,,-0.400000,-0.400000,0.100000,-0.100000,latin
1,nation_nicaragua,6.00,2.00,0.50,,-0.300000,0.000000,-0.100000,-0.100000,latin
1,nation_panama,4.00,4.00,5.50,,0.100000,0.200000,-0.400000,-0.300000,latin
2,nation_costa_rica,10.00,10.00,34.00,,0.100000,0.300000,-0.800000,-0.600000,latin
2,nation_guatemala,28.00,8.00,10.00,,-0.400000,-0.500000,0.200000,0.100000,latin
2,nation_honduras,18.00,6.00,11.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
2,nation_nicaragua,12.00,4.00,1.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
2,nation_panama,8.00,8.00,11.00,,0.100000,0.200000,-0.400000,-0.300000,latin
3,nation_costa_rica,15.00,15.00,43.50,,0.100000,0.300000,-0.800000,-0.600000,latin
3,nation_guatemala,42.00,12.00,7.50,,-0.400000,-0.500000,0.200000,0.100000,latin
3,nation_honduras,27.00,9.00,11.50,,-0.400000,-0.400000,0.100000,-0.100000,latin
3,nation_nicaragua,18.00,6.00,1.50,,-0.300000,0.000000,-0.100000,-0.100000,latin
3,nation_panama,12.00,12.00,16.50,,0.100000,0.200000,-0.400000,-0.300000,latin
4,nation_costa_rica,20.00,20.00,53.00,,0.100000,0.300000,-0.800000,-0.600000,latin
4,nation_guatemala,56.00,16.00,5.00,,-0.400000,-0.500000,0.200000,0.100000,latin
4,nation_honduras,36.00,12.00,12.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
4,nation_nicaragua,24.00,8.00,2.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
