tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,20.00,0.00
0,nation_guatemala,50.000,active,active,0.00,0.00
0,nation_honduras,50.000,active,active,0.00,0.00
0,nation_nicaragua,50.000,active,active,0.00,0.00
0,nation_panama,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,autopilot,autopilot,18.20,0.00
1,nation_guatemala,50.000,active,active,-1.10,1.10
1,nation_honduras,50.000,active,active,-1.96,1.96
1,nation_nicaragua,50.000,active,active,-2.14,2.14
1,nation_panama,50.000,active,active,-1.86,1.86
2,nation_costa_rica,50.000,autopilot,autopilot,16.38,0.00
2,nation_guatemala,50.000,active,active,-2.20,3.30
2,nation_honduras,50.000,active,active,-3.92,5.88
2,nation_nicaragua,50.000,active,active,-4.28,6.42
2,nation_panama,50.000,active,active,-3.72,5.58
3,nation_costa_rica,50.000,autopilot,autopilot,14.56,0.00
3,nation_guatemala,50.000,active,active,-3.30,6.60
3,nation_honduras,50.000,active,active,-5.88,11.76
3,nation_nicaragua,50.000,active,active,-6.42,12.84
3,nation_panama,50.000,active,active,-5.58,11.16
4,nation_costa_rica,50.000,autopilot,autopilot,12.74,0.00
4,nation_guatemala,50.000,active,active,-4.40,11.00
4,nation_honduras,50.000,active,active,-7.84,19.60
4,nation_nicaragua,50.000,active,active,-8.56,21.40
4,nation_panama,50.000,active,active,-7.44,18.60
5,nation_costa_rica,50.000,autopilot,autopilot,10.92,0.00
5,nation_guatemala,50.000,active,active,-5.50,16.50
5,nation_honduras,50.000,active,active,-9.80,29.40
5,nation_nicaragua,50.000,active,active,-10.70,32.10
5,nation_panama,50.000,active,active,-9.30,27.90
6,nation_costa_rica,50.000,autopilot,autopilot,9.10,0.00
6,nation_guatemala,50.000,active,active,-6.60,23.10
6,nation_honduras,50.000,active,active,-11.76,41.16
6,nation_nicaragua,50.000,active,active,-12.84,44.94
6,nation_panama,50.000,active,active,-11.16,39.06
7,nation_costa_rica,50.000,autopilot,autopilot,7.28,0.00
7,nation_guatemala,50.000,active,active,-7.70,30.80
7,nation_honduras,50.000,active,active,-13.72,54.88
7,nation_nicaragua,50.000,active,active,-14.98,59.92
7,nation_panama,50.000,active,active,-13.02,52.08
8,nation_costa_rica,50.000,autopilot,autopilot,5.46,0.00
8,nation_guatemala,50.000,active,active,-8.80,39.60
8,nation_honduras,50.000,active,active,-15.68,70.56
8,nation_nicaragua,50.000,active,active,-17.12,77.04
8,nation_panama,50.000,active,active,-14.88,66.96
9,nation_costa_rica,50.000,autopilot,autopilot,3.64,0.00
9,nation_guatemala,50.000,active,active,-9.90,49.50
9,nation_honduras,50.000,active,active,-17.64,88.20
9,nation_nicaragua,50.000,active,active,-19.26,96.30
9,nation_panama,50.000,active,active,-16.74,83.70
10,nation_costa_rica,50.000,autopilot,autopilot,1.82,0.00
10,nation_guatemala,50.000,active,active,-11.00,60.50
10,nation_honduras,50.000,active,active,-19.60,107.80
10,nation_nicaragua,50.000,active,active,-21.40,117.70
10,nation_panama,50.000,active,active,-18.60,102.30
