tick,territory_id,owner_id,unrest,equilibrium,conquest_shock,base,compat_pressure,distance_pressure,infra_bonus,overexpansion,rapid_expansion,is_in_revolt,compat_total
0,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
0,guatemala,nation_guatemala,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
0,belize,,0.000000,0.000000,0.000000,,,,,,,0,
0,honduras,,0.000000,0.000000,0.000000,,,,,,,0,
0,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
0,nicaragua,,0.000000,0.000000,0.000000,,,,,,,0,
0,costa_rica,nation_costa_rica,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
0,panama,nation_panama,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
1,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
1,guatemala,nation_guatemala,0.002000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
1,belize,nation_costa_rica,0.072004,0.714794,0.335000,0.020000,0.144794,0.160000,0.000000,0.000000,0.055000,0,0.736738
1,honduras,,0.000000,0.000000,0.000000,,,,,,,0,
1,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
1,nicaragua,,0.000000,0.000000,0.000000,,,,,,,0,
1,costa_rica,nation_costa_rica,0.008346,0.078395,0.000000,0.020000,0.003395,0.000000,0.000000,0.000000,0.055000,0,0.993827
1,panama,nation_panama,0.002000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
2,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
2,guatemala,nation_guatemala,0.003800,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
2,belize,nation_costa_rica,0.143765,0.779141,0.335000,0.020000,0.159141,0.160000,0.000000,0.000000,0.105000,0,0.710652
2,honduras,nation_costa_rica,0.052389,0.513054,0.265000,0.020000,0.043054,0.080000,0.000000,0.000000,0.105000,0,0.921720
2,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
2,nicaragua,,0.000000,0.000000,0.000000,,,,,,,0,
2,costa_rica,nation_costa_rica,0.023773,0.152075,0.000000,0.020000,0.027075,0.000000,0.000000,0.000000,0.105000,0,0.950773
2,panama,nation_panama,0.003800,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
3,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
