tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,500.00,0.00
0,nation_honduras,50.000,active,active,100.00,0.00
1,nation_costa_rica,50.000,active,active,502.89,0.00
1,nation_honduras,50.000,active,active,98.04,0.00
2,nation_costa_rica,50.000,active,active,500.77,0.00
2,nation_honduras,50.000,active,active,96.08,0.00
3,nation_costa_rica,50.000,active,active,503.88,0.00
3,nation_honduras,50.000,active,active,94.12,0.00
4,nation_costa_rica,50.000,active,active,501.74,0.00
4,nation_honduras,50.000,active,active,92.16,0.00
5,nation_costa_rica,50.000,active,active,505.08,0.00
5,nation_honduras,50.000,active,active,90.20,0.00
6,nation_costa_rica,50.000,active,active,502.91,0.00
6,nation_honduras,50.000,active,active,88.24,0.00
7,nation_costa_rica,50.000,active,active,506.47,0.00
7,nation_honduras,50.000,active,active,86.28,0.00
8,nation_costa_rica,50.000,active,active,504.28,0.00
8,nation_honduras,50.000,active,active,84.32,0.00
9,nation_costa_rica,50.000,active,active,508.07,0.00
9,nation_honduras,50.000,active,active,82.36,0.00
10,nation_costa_rica,50.000,active,active,505.85,0.00
10,nation_honduras,50.000,active,active,80.40,0.00
11,nation_costa_rica,50.000,active,active,509.86,0.00
11,nation_honduras,50.000,active,active,78.44,0.00
12,nation_costa_rica,50.000,active,active,507.62,0.00
12,nation_honduras,50.000,active,active,76.48,0.00
13,nation_costa_rica,50.000,active,active,511.86,0.00
13,nation_honduras,50.000,active,active,74.52,0.00
14,nation_costa_rica,50.000,active,active,509.59,0.00
14,nation_honduras,50.000,active,active,72.56,0.00
15,nation_costa_rica,50.000,active,active,514.05,0.00
15,nation_honduras,50.000,active,active,70.60,0.00
16,nation_costa_rica,50.000,active,active,510.65,0.00
16,nation_honduras,50.000,active,active,68.95,0.00
17,nation_costa_rica,50.000,active,active,508.75,0.00
17,nation_honduras,50.000,active,active,67.30,0.00
18,nation_costa_rica,50.000,active,active,506.85,0.00
18,nation_honduras,50.000,active,active,65.65,0.00
19,nation_costa_rica,50.000,active,active,504.95,0.00
19,nation_honduras,50.000,active,active,64.00,0.00
20,nation_costa_rica,50.000,active,active,503.05,0.00
20,nation_honduras,50.000,active,active,62.35,0.00
