tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_costa_rica,100.00,100.00,500.00,,-0.036709,0.197468,-0.560759,-0.429114,latin
1,nation_costa_rica,101.22,100.74,502.89,,-0.034107,0.197457,-0.560733,-0.429095,latin
2,nation_costa_rica,102.44,101.48,500.77,,-0.031524,0.197436,-0.560684,-0.429060,latin
3,nation_costa_rica,103.66,102.22,503.88,,-0.028835,0.197406,-0.560615,-0.429011,latin
4,nation_costa_rica,104.88,102.96,501.74,,-0.026160,0.197370,-0.560530,-0.428950,latin
5,nation_costa_rica,106.10,103.70,505.08,,-0.023375,0.197328,-0.560431,-0.428880,latin
6,nation_costa_rica,107.32,104.44,502.91,,-0.020601,0.197280,-0.560321,-0.428801,latin
7,nation_costa_rica,108.54,105.18,506.47,,-0.017713,0.197229,-0.560201,-0.428715,latin
8,nation_costa_rica,109.76,105.92,504.28,,-0.014834,0.197174,-0.560074,-0.428624,latin
9,nation_costa_rica,110.98,106.66,508.07,,-0.011839,0.197117,-0.559940,-0.428528,latin
10,nation_costa_rica,112.20,107.40,505.85,,-0.008850,0.197057,-0.559801,-0.428429,latin
11,nation_costa_rica,113.42,108.14,509.86,,-0.005744,0.196996,-0.559658,-0.428327,latin
12,nation_costa_rica,114.64,108.88,507.62,,-0.002641,0.196934,-0.559512,-0.428223,latin
13,nation_costa_rica,115.86,109.62,511.86,,0.000580,0.196870,-0.559364,-0.428117,latin
14,nation_costa_rica,117.08,110.36,509.59,,0.003799,0.196806,-0.559214,-0.428010,latin
15,nation_costa_rica,118.30,111.10,514.05,,0.007138,0.196742,-0.559064,-0.427903,latin
16,nation_costa_rica,119.52,111.84,511.76,,0.010475,0.196678,-0.558914,-0.427796,latin
17,nation_costa_rica,120.74,112.58,516.45,,0.013933,0.196613,-0.558764,-0.427689,latin
18,nation_costa_rica,121.96,113.32,514.13,,0.017390,0.196549,-0.558615,-0.427582,latin
19,nation_costa_rica,123.18,114.06,519.04,,0.020969,0.196486,-0.558467,-0.427477,latin
20,nation_costa_rica,124.40,114.80,516.70,,0.024548,0.196423,-0.558321,-0.427372,latin
21,nation_costa_rica,125.62,115.54,521.86,,0.028127,0.196361,-0.558175,-0.427268,latin
22,nation_costa_rica,126.84,116.28,519.52,,0.031706,0.196299,-0.558032,-0.427166,latin
23,nation_costa_rica,128.06,117.02,524.68,,0.035286,0.196239,-0.557891,-0.427065,latin
24,nation_costa_rica,129.28,117.76,522.34,,0.038866,0.196179,-0.557751,-0.426965,latin
25,nation_costa_rica,130.50,118.50,527.50,,0.042448,0.196120,-0.557614,-0.426867,latin
26,nation_costa_rica,131.72,119.24,525.16,,0.046030,0.196063,-0.557479,-0.426771,latin
27,nation_costa_rica,132.94,119.98,530.32,,0.049614,0.196006,-0.557347,-0.426676,latin
28,nation_costa_rica,134.16,120.72,527.98,,0.053199,0.195950,-0.557217,-0.426583,latin
29,nation_costa_rica,135.38,121.46,533.14,,0.056785,0.195895,-0.557089,-0.426492,latin
30,nation_costa_rica,136.60,122.20,530.80,,0.060372,0.195842,-0.556964,-0.426403,latin
