tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,50.00,0.00
0,nation_guatemala,50.000,active,active,50.00,0.00
0,nation_honduras,50.000,active,active,0.00,0.00
0,nation_nicaragua,50.000,active,active,0.00,0.00
0,nation_panama,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,33.20,0.00
1,nation_guatemala,50.000,active,active,43.90,0.00
1,nation_honduras,50.000,active,active,-1.96,1.96
1,nation_nicaragua,50.000,active,active,-2.14,2.14
1,nation_panama,50.000,active,active,-1.86,1.86
2,nation_costa_rica,50.000,active,active,31.40,0.00
2,nation_guatemala,50.000,active,active,42.80,0.00
2,nation_honduras,50.000,active,active,-3.92,5.88
2,nation_nicaragua,50.000,active,active,-4.28,6.42
2,nation_panama,50.000,active,active,-3.72,5.58
3,nation_costa_rica,50.000,active,active,29.60,0.00
3,nation_guatemala,50.000,active,active,41.70,0.00
3,nation_honduras,50.000,active,active,-5.88,11.76
3,nation_nicaragua,50.000,active,active,-6.42,12.84
3,nation_panama,50.000,active,active,-5.58,11.16
4,nation_costa_rica,50.000,active,active,27.80,0.00
4,nation_guatemala,50.000,active,active,40.60,0.00
4,nation_honduras,50.000,active,active,-7.84,19.60
4,nation_nicaragua,50.000,active,active,-8.56,21.40
4,nation_panama,50.000,active,active,-7.44,18.60
5,nation_costa_rica,50.000,active,active,26.00,0.00
5,nation_guatemala,50.000,active,active,39.50,0.00
5,nation_honduras,50.000,active,active,-9.80,29.40
5,nation_nicaragua,50.000,active,active,-10.70,32.10
5,nation_panama,50.000,active,active,-9.30,27.90
6,nation_costa_rica,30.000,active,active,23.20,0.00
6,nation_guatemala,50.000,active,active,53.40,0.00
6,nation_honduras,50.000,active,active,-11.76,41.16
6,nation_nicaragua,50.000,active,active,-12.84,44.94
6,nation_panama,50.000,active,active,-11.16,39.06
7,nation_costa_rica,30.000,active,active,20.40,0.00
7,nation_guatemala,50.000,active,active,52.30,0.00
7,nation_honduras,50.000,active,active,-13.72,54.88
7,nation_nicaragua,50.000,active,active,-14.98,59.92
7,nation_panama,50.000,active,active,-13.02,52.08
8,nation_costa_rica,30.000,active,active,17.60,0.00
8,nation_guatemala,50.000,active,active,51.20,0.00
8,nation_honduras,50.000,active,active,-15.68,70.56
8,nation_nicaragua,50.000,active,active,-17.12,77.04
8,nation_panama,50.000,active,active,-14.88,66.96
9,nation_costa_rica,30.000,active,active,14.80,0.00
9,nation_guatemala,50.000,active,active,50.10,0.00
9,nation_honduras,50.000,active,active,-17.64,88.20
9,nation_nicaragua,50.000,active,active,-19.26,96.30
9,nation_panama,50.000,active,active,-16.74,83.70
10,nation_costa_rica,30.000,active,active,12.00,0.00
10,nation_guatemala,50.000,active,active,49.00,0.00
10,nation_honduras,50.000,active,active,-19.60,107.80
10,nation_nicaragua,50.000,active,active,-21.40,117.70
10,nation_panama,50.000,active,active,-18.60,102.30
11,nation_costa_rica,30.000,active,active,9.20,0.00
11,nation_guatemala,50.000,active,active,47.90,0.00
11,nation_honduras,50.000,active,active,-21.56,129.36
11,nation_nicaragua,50.000,active,active,-23.54,141.24
11,nation_panama,50.000,active,active,-20.46,122.76
12,nation_costa_rica,36.000,active,active,7.40,0.00
12,nation_guatemala,55.500,active,active,46.80,0.00
12,nation_honduras,50.000,active,active,-23.52,152.88
12,nation_nicaragua,50.000,active,active,-25.68,166.92
12,nation_panama,50.000,active,active,-22.32,145.08
