tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,20.00,0.00
0,nation_nicaragua,50.000,active,active,20.00,0.00
0,nation_honduras,50.000,active,active,0.00,0.00
0,nation_guatemala,50.000,active,active,0.00,0.00
0,nation_panama,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,16.70,0.00
1,nation_nicaragua,50.000,active,active,18.56,0.00
1,nation_honduras,50.000,active,active,-1.96,1.96
1,nation_guatemala,50.000,active,active,-1.10,1.10
1,nation_panama,50.000,active,active,-1.86,1.86
2,nation_costa_rica,50.000,active,active,13.76,0.00
2,nation_nicaragua,50.000,active,active,16.91,0.00
2,nation_honduras,50.000,active,active,-3.92,5.88
2,nation_guatemala,50.000,active,active,-2.20,3.30
2,nation_panama,50.000,active,active,-3.72,5.58
3,nation_costa_rica,50.000,active,active,10.82,0.00
3,nation_nicaragua,50.000,active,active,15.26,0.00
3,nation_honduras,50.000,active,active,-5.88,11.76
3,nation_guatemala,50.000,active,active,-3.30,6.60
3,nation_panama,50.000,active,active,-5.58,11.16
4,nation_costa_rica,50.000,active,active,7.88,0.00
4,nation_nicaragua,50.000,active,active,13.61,0.00
4,nation_honduras,50.000,active,active,-7.84,19.60
4,nation_guatemala,50.000,active,active,-4.40,11.00
4,nation_panama,50.000,active,active,-7.44,18.60
5,nation_costa_rica,50.000,active,active,4.94,0.00
5,nation_nicaragua,50.000,active,active,11.96,0.00
5,nation_honduras,50.000,active,active,-9.80,29.40
5,nation_guatemala,50.000,active,active,-5.50,16.50
5,nation_panama,50.000,active,active,-9.30,27.90
6,nation_costa_rica,50.000,active,active,2.00,0.00
6,nation_nicaragua,50.000,active,active,10.31,0.00
6,nation_honduras,50.000,active,active,-11.76,41.16
6,nation_guatemala,50.000,active,active,-6.60,23.10
6,nation_panama,50.000,active,active,-11.16,39.06
7,nation_costa_rica,50.000,active,active,-0.94,0.94
7,nation_nicaragua,50.000,active,active,8.66,0.00
7,nation_honduras,50.000,active,active,-13.72,54.88
7,nation_guatemala,50.000,active,active,-7.70,30.80
7,nation_panama,50.000,active,active,-13.02,52.08
8,nation_costa_rica,54.500,active,active,-3.88,4.82
8,nation_nicaragua,54.500,active,active,7.01,0.00
8,nation_honduras,50.000,active,active,-15.68,70.56
8,nation_guatemala,50.000,active,active,-8.80,39.60
8,nation_panama,50.000,active,active,-14.88,66.96
9,nation_costa_rica,54.000,active,active,-6.82,11.64
9,nation_nicaragua,54.000,active,active,5.36,0.00
9,nation_honduras,50.000,active,active,-17.64,88.20
9,nation_guatemala,50.000,active,active,-9.90,49.50
9,nation_panama,50.000,active,active,-16.74,83.70
10,nation_costa_rica,53.500,active,active,-9.76,21.40
10,nation_nicaragua,53.500,active,active,3.71,0.00
10,nation_honduras,50.000,active,active,-19.60,107.80
10,nation_guatemala,50.000,active,active,-11.00,60.50
10,nation_panama,50.000,active,active,-18.60,102.30
