tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,10.00,0.00
0,nation_nicaragua,50.000,active,active,10.00,0.00
0,nation_honduras,50.000,active,active,0.00,0.00
0,nation_guatemala,50.000,active,active,0.00,0.00
0,nation_panama,50.000,active,active,0.00,0.00
1,nation_costa_rica,40.500,active,active,7.70,0.00
1,nation_nicaragua,50.000,active,active,7.36,0.00
1,nation_honduras,50.000,active,active,-1.96,1.96
1,nation_guatemala,50.000,active,active,-1.10,1.10
1,nation_panama,50.000,active,active,-1.86,1.86
2,nation_costa_rica,41.000,active,active,5.40,0.00
2,nation_nicaragua,50.000,active,active,4.72,0.00
2,nation_honduras,50.000,active,active,-3.92,5.88
2,nation_guatemala,50.000,active,active,-2.20,3.30
2,nation_panama,50.000,active,active,-3.72,5.58
3,nation_costa_rica,41.500,active,active,3.10,0.00
3,nation_nicaragua,50.000,active,active,2.38,0.00
3,nation_honduras,50.000,active,active,-5.88,11.76
3,nation_guatemala,50.000,active,active,-3.30,6.60
3,nation_panama,50.000,active,active,-5.58,11.16
4,nation_costa_rica,42.000,active,active,0.80,0.00
4,nation_nicaragua,50.000,active,active,0.04,0.00
4,nation_honduras,50.000,active,active,-7.84,19.60
4,nation_guatemala,50.000,active,active,-4.40,11.00
4,nation_panama,50.000,active,active,-7.44,18.60
5,nation_costa_rica,42.500,active,active,-1.50,1.50
5,nation_nicaragua,50.000,active,active,-2.30,2.30
5,nation_honduras,50.000,active,active,-9.80,29.40
5,nation_guatemala,50.000,active,active,-5.50,16.50
5,nation_panama,50.000,active,active,-9.30,27.90
6,nation_costa_rica,43.000,active,active,-3.80,5.30
6,nation_nicaragua,50.000,active,active,-4.64,6.94
6,nation_honduras,50.000,active,active,-11.76,41.16
6,nation_guatemala,50.000,active,active,-6.60,23.10
6,nation_panama,50.000,active,active,-11.16,39.06
7,nation_costa_rica,43.500,active,active,-6.10,11.40
7,nation_nicaragua,50.000,active,active,-6.98,13.92
7,nation_honduras,50.000,active,active,-13.72,54.88
7,nation_guatemala,50.000,active,active,-7.70,30.80
7,nation_panama,50.000,active,active,-13.02,52.08
8,nation_costa_rica,44.000,active,active,-8.40,19.80
8,nation_nicaragua,50.000,active,active,-9.32,23.24
8,nation_honduras,50.000,active,active,-15.68,70.56
8,nation_guatemala,50.000,active,active,-8.80,39.60
8,nation_panama,50.000,active,active,-14.88,66.96
9,nation_costa_rica,44.500,active,active,-10.70,30.50
9,nation_nicaragua,50.000,active,active,-11.66,34.90
9,nation_honduras,50.000,active,active,-17.64,88.20
9,nation_guatemala,50.000,active,active,-9.90,49.50
9,nation_panama,50.000,active,active,-16.74,83.70
10,nation_costa_rica,45.000,active,active,-13.00,43.50
10,nation_nicaragua,50.000,active,active,-14.00,48.90
10,nation_honduras,50.000,active,active,-19.60,107.80
10,nation_guatemala,50.000,active,active,-11.00,60.50
10,nation_panama,50.000,active,active,-18.60,102.30
11,nation_costa_rica,45.500,active,active,-15.30,58.80
11,nation_nicaragua,50.000,active,active,-16.34,65.24
11,nation_honduras,50.000,active,active,-21.56,129.36
11,nation_guatemala,50.000,active,active,-12.10,72.60
11,nation_panama,50.000,active,active,-20.46,122.76
12,nation_costa_rica,46.000,active,active,-17.60,76.40
12,nation_nicaragua,50.000,active,active,-18.68,83.92
12,nation_honduras,50.000,active,active,-23.52,152.88
12,nation_guatemala,50.000,active,active,-13.20,85.80
12,nation_panama,50.000,active,active,-22.32,145.08
